id,added_on_year,type,bedrooms,bathrooms,town,price
1,2025,Flat / Apartment,3,4.0,Jahi,130000000.0
2,2025,Detached Duplex,6,6.0,Guzape District,2000000000.0
3,2025,Detached Duplex,5,5.0,Guzape District,850000000.0
4,2025,Detached Duplex,5,5.0,Guzape District,950000000.0
5,2025,House,5,5.0,Guzape District,500000000.0
6,2025,Terraced Duplex,4,5.0,Jahi,215000000.0
7,2025,Terraced Bungalow,3,3.0,Lugbe District,58000000.0
8,2024,Terraced Duplex,4,5.0,Gudu,140000000.0
9,2025,Terraced Duplex,4,4.0,Maitama District,600000000.0
10,2025,Terraced Duplex,4,5.0,Wuye,240000000.0
11,2025,Detached Duplex,5,5.0,Wuye,600000000.0
12,2025,Terraced Duplex,4,5.0,Jahi,310000000.0
13,2025,Detached Duplex,7,9.0,Guzape District,2300000000.0
14,2025,Detached Duplex,5,5.0,Guzape District,500000000.0
15,2025,Terraced Duplex,4,5.0,Life Camp,159000000.0
16,2025,Detached Duplex,5,5.0,Guzape District,450000000.0
17,2025,Terraced Duplex,4,4.0,Katampe,160000000.0
18,2025,Detached Duplex,7,9.0,Guzape District,2300000000.0
19,2025,Terraced Duplex,4,5.0,Life Camp,159000000.0
20,2025,Terraced Duplex,4,4.0,Katampe,160000000.0
21,2025,Terraced Duplex,4,4.0,Jahi,300000000.0
22,2024,Detached Duplex,5,5.0,Wuye,250000000.0
23,2025,Terraced Duplex,5,5.0,Asokoro District,1300000000.0
24,2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
25,2025,Detached Duplex,6,6.0,Karsana,550000000.0
26,2025,Detached Duplex,5,5.0,Karsana,305000000.0
27,2025,Detached Duplex,5,5.0,Karsana,550000000.0
28,2025,Detached Duplex,7,7.0,Wuye,1500000000.0
29,2024,Terraced Duplex,4,5.0,Dakibiyu,95000000.0
30,2024,Flat / Apartment,1,2.0,Mabushi,75000000.0
31,2025,Flat / Apartment,3,4.0,Guzape District,185000000.0
32,2025,Terraced Duplex,3,4.0,Gaduwa,140000000.0
33,2025,Detached Duplex,7,8.0,Guzape District,1500000000.0
34,2024,Detached Duplex,5,5.0,Katampe,400000000.0
35,2024,Terraced Duplex,4,4.0,Kado,260000000.0
36,2024,Terraced Duplex,4,4.0,Jahi,190000000.0
37,2025,Flat / Apartment,2,2.0,Life Camp,60000000.0
38,2024,Flat / Apartment,3,3.0,Wuye,80000000.0
39,2025,Detached Duplex,6,6.0,Jahi,560000000.0
40,2024,Detached Duplex,5,5.0,Jabi,320000000.0
41,2024,Flat / Apartment,3,3.0,Jabi,100000000.0
42,2025,Detached Duplex,4,4.0,Life Camp,210000000.0
43,2025,Terraced Duplex,4,5.0,Guzape District,180000000.0
44,2025,Terraced Duplex,4,4.0,Jahi,300000000.0
45,2025,Flat / Apartment,4,4.0,Galadimawa,140000000.0
46,2025,Flat / Apartment,3,3.0,Life Camp,250000000.0
47,2025,Terraced Duplex,3,3.0,Life Camp,100000000.0
48,2025,Terraced Duplex,4,4.0,Jahi,310000000.0
49,2025,Terraced Duplex,4,4.0,Jabi,170000000.0
50,2025,Flat / Apartment,2,2.0,Gwarinpa,65000000.0
51,2025,Terraced Duplex,4,4.0,Life Camp,150000000.0
52,2025,Detached Duplex,8,8.0,Karsana,700000000.0
54,2025,Detached Duplex,9,9.0,Maitama District,5000000000.0
56,2025,Terraced Duplex,4,4.0,Galadimawa,120000000.0
57,2025,Detached Duplex,4,4.0,Mabushi,250000000.0
58,2025,Detached Duplex,5,5.0,Apo,250000000.0
59,2025,Terraced Duplex,4,4.0,Wuye,175000000.0
60,2025,Terraced Duplex,5,5.0,Life Camp,260000000.0
61,2025,Terraced Duplex,4,4.0,Jabi,320000000.0
62,2025,Detached Duplex,5,6.0,Asokoro District,800000000.0
64,2025,Detached Duplex,5,6.0,Galadimawa,200000000.0
65,2025,Detached Duplex,4,5.0,Galadimawa,120000000.0
67,2025,Detached Duplex,5,6.0,Galadimawa,195000000.0
68,2025,Detached Duplex,5,6.0,Galadimawa,195000000.0
69,2025,Terraced Duplex,5,5.0,Jahi,350000000.0
71,2025,Terraced Duplex,4,4.0,Guzape District,300000000.0
72,2025,Detached Duplex,4,4.0,Lugbe District,230000000.0
73,2025,Detached Duplex,6,6.0,Asokoro District,650000000.0
74,2023,Detached Duplex,5,7.0,Katampe,1500000000.0
75,2025,Terraced Duplex,3,3.0,Life Camp,150000000.0
76,2025,Detached Duplex,4,4.0,Guzape District,390000000.0
77,2025,Detached Duplex,5,6.0,Idu Industrial,250000000.0
78,2024,Terraced Duplex,4,4.0,Wuye,400000000.0
79,2024,Terraced Duplex,4,4.0,Karmo,120000000.0
80,2025,Terraced Duplex,4,5.0,Jabi,320000000.0
81,2025,Terraced Duplex,5,6.0,Utako,600000000.0
82,2025,Terraced Bungalow,2,2.0,Lugbe District,22000000.0
83,2024,Detached Duplex,7,7.0,Guzape District,2800000000.0
84,2024,Terraced Duplex,4,4.0,Guzape District,300000000.0
85,2025,Terraced Duplex,2,2.0,Lokogoma District,80000000.0
86,2025,Detached Duplex,5,4.0,Wuse,700000000.0
87,2025,Detached Duplex,7,9.0,Asokoro District,2800000000.0
88,2025,Terraced Duplex,4,4.0,Jabi,310000000.0
89,2025,Detached Bungalow,3,3.0,Gwarinpa,150000000.0
90,2025,Detached Duplex,6,6.0,Maitama District,2500000000.0
91,2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
92,2024,Flat / Apartment,3,4.0,Dakibiyu,65000000.0
93,2025,Detached Bungalow,4,4.0,Lugbe District,46000000.0
94,2025,Terraced Duplex,4,4.0,Apo,160000000.0
95,2025,Detached Duplex,5,5.0,Gwarinpa,430000000.0
96,2025,Terraced Duplex,5,5.0,Jahi,420000000.0
97,2025,Flat / Apartment,2,2.0,Kubwa,15000000.0
98,2025,Detached Duplex,5,5.0,Karsana,360000000.0
99,2025,Terraced Duplex,4,4.0,Jahi,350000000.0
100,2025,Detached Duplex,6,6.0,Wuse 2,1500000000.0
101,2025,Detached Duplex,6,6.0,Wuse 2,2000000000.0
102,2025,Flat / Apartment,3,3.0,Katampe,75000000.0
103,2025,Detached Duplex,4,4.0,Jabi,265000000.0
104,2025,Flat / Apartment,2,2.0,Idu Industrial,60000000.0
105,2025,Flat / Apartment,3,3.0,Idu Industrial,58000000.0
106,2024,Flat / Apartment,2,2.0,Idu Industrial,60000000.0
107,2024,Terraced Duplex,3,3.0,Life Camp,170000000.0
108,2025,Detached Duplex,5,5.0,Kubwa,280000000.0
110,2025,Detached Bungalow,4,4.0,Lokogoma District,130000000.0
111,2025,Detached Duplex,4,4.0,Kado,550000000.0
112,2025,Terraced Duplex,4,4.0,Life Camp,150000000.0
114,2025,Flat / Apartment,3,3.0,Jahi,113400000.0
115,2025,Detached Duplex,5,6.0,Asokoro District,2400000000.0
116,2025,Detached Duplex,4,4.0,Gwarinpa,200000000.0
117,2025,Detached Duplex,5,5.0,Katampe,130000000.0
118,2025,Flat / Apartment,3,3.0,Guzape District,250000000.0
119,2025,Flat / Apartment,3,3.0,Katampe,120000000.0
120,2025,Detached Duplex,4,4.0,Jahi,430000000.0
121,2024,Flat / Apartment,3,4.0,Dakibiyu,70000000.0
122,2025,Flat / Apartment,1,1.0,Katampe,75000000.0
123,2025,Flat / Apartment,3,3.0,Guzape District,250000000.0
124,2025,Detached Duplex,7,7.0,Guzape District,1700000000.0
125,2025,Detached Duplex,5,5.0,Gwarinpa,320000000.0
126,2025,Terraced Duplex,4,5.0,Jahi,350000000.0
127,2025,Terraced Duplex,4,5.0,Mabushi,270000000.0
129,2024,Detached Bungalow,5,5.0,Kukwaba,290000000.0
130,2024,Terraced Duplex,4,4.0,Mabushi,165000000.0
131,2025,Flat / Apartment,3,3.0,Life Camp,85000000.0
132,2025,House,4,4.0,Gwarinpa,150000000.0
133,2024,House,3,3.0,Apo,45000000.0
134,2025,Detached Duplex,5,5.0,Kado,315000000.0
135,2025,Terraced Duplex,4,4.0,Asokoro District,280000000.0
136,2024,House,5,5.0,Katampe,450000000.0
138,2025,Flat / Apartment,3,4.0,Mabushi,200000000.0
139,2025,Terraced Duplex,4,5.0,Guzape District,350000000.0
140,2025,Flat / Apartment,3,4.0,Wuye,235000000.0
141,2025,Flat / Apartment,3,4.0,Katampe,110000.0
142,2025,Terraced Duplex,4,5.0,Jahi,350000000.0
143,2025,Terraced Duplex,4,5.0,Jahi,350000000.0
144,2025,Terraced Duplex,4,4.0,Maitama District,140000000.0
145,2025,Terraced Duplex,4,5.0,Jabi,320000.0
146,2025,Detached Duplex,6,6.0,Guzape District,350000000.0
147,2025,Terraced Duplex,4,5.0,Jahi,320000000.0
148,2025,Detached Duplex,5,6.0,Guzape District,950000000.0
150,2025,Terraced Duplex,4,5.0,Jabi,320000000.0
151,2025,Detached Duplex,7,7.0,Guzape District,1700000000.0
152,2025,Detached Duplex,5,5.0,Jabi,250000000.0
153,2025,Terraced Duplex,4,4.0,Kado,190000000.0
154,2025,Terraced Duplex,4,4.0,Garki,270000000.0
155,2025,Terraced Duplex,4,4.0,Garki,270000000.0
156,2025,Terraced Duplex,5,5.0,Life Camp,250000000.0
157,2025,Flat / Apartment,3,3.0,Katampe,110000000.0
158,2025,Terraced Duplex,4,4.0,Jahi,165000000.0
159,2024,Detached Duplex,4,4.0,Asokoro District,600000000.0
160,2024,Terraced Duplex,4,4.0,Guzape District,200000000.0
161,2024,Detached Duplex,6,6.0,Guzape District,1000000000.0
162,2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
163,2024,Flat / Apartment,2,3.0,Lugbe District,70000000.0
164,2025,Detached Duplex,6,6.0,Katampe,1100000000.0
165,2025,Detached Duplex,6,6.0,Karsana,450000000.0
166,2025,Detached Duplex,6,6.0,Karsana,520000000.0
167,2025,Detached Duplex,6,6.0,Gwarinpa,390000000.0
168,2025,Terraced Duplex,4,4.0,Jahi,165000000.0
169,2025,Detached Duplex,4,4.0,Gwarinpa,250000000.0
170,2025,Detached Duplex,5,5.0,Galadimawa,400000000.0
171,2025,Terraced Duplex,4,5.0,Jahi,450000000.0
172,2025,Flat / Apartment,3,3.0,Karmo,60000000.0
173,2024,Detached Bungalow,3,3.0,Mbora (Nbora),150000000.0
175,2025,Detached Bungalow,2,2.0,Kubwa,90000000.0
176,2024,Detached Duplex,5,5.0,Lugbe District,250000000.0
177,2024,Flat / Apartment,3,3.0,Kubwa,60000000.0
178,2024,Flat / Apartment,2,2.0,Kubwa,45000000.0
179,2024,Terraced Duplex,4,4.0,Kubwa,135000000.0
180,2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
181,2023,Detached Duplex,5,5.0,Katampe,500000000.0
182,2024,Terraced Duplex,5,5.0,Mabushi,350000000.0
183,2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
184,2024,Detached Duplex,5,5.0,Kubwa,350000000.0
185,2024,Terraced Duplex,3,3.0,Apo,83000000.0
186,2024,Detached Duplex,5,6.0,Kado,350000000.0
187,2025,Detached Duplex,4,4.0,Maitama District,450000000.0
188,2024,Detached Bungalow,3,3.0,Lokogoma District,100000000.0
189,2025,Terraced Duplex,4,4.0,Guzape District,3000000.0
190,2024,Terraced Duplex,5,5.0,Jahi,250000000.0
191,2024,Terraced Duplex,5,6.0,Life Camp,250000000.0
192,2024,Detached Bungalow,4,5.0,Gwarinpa,180000000.0
193,2024,Detached Duplex,4,5.0,Gwarinpa,190000000.0
194,2024,Detached Duplex,6,6.0,Guzape District,1500000000.0
195,2025,Terraced Duplex,4,4.0,Jahi,300000000.0
196,2025,Terraced Duplex,4,4.0,Jahi,250000000.0
198,2024,Terraced Duplex,4,5.0,Life Camp,150000000.0
199,2024,Detached Duplex,5,6.0,Gwarinpa,400000000.0
200,2024,Terraced Duplex,4,4.0,Karsana,95000000.0
201,2025,Detached Duplex,6,6.0,Asokoro District,4900000000.0
202,2025,Detached Duplex,5,5.0,Wuye,400000000.0
203,2025,Terraced Duplex,4,4.0,Jahi,165000000.0
204,2024,Detached Duplex,4,4.0,Lugbe District,230000000.0
205,2025,Detached Duplex,7,7.0,Asokoro District,1800000000.0
206,2025,Detached Duplex,4,4.0,Life Camp,280000000.0
207,2025,Detached Bungalow,3,4.0,Lugbe District,35000000.0
208,2025,Terraced Duplex,3,3.0,Lugbe District,111745365.0
209,2025,Detached Duplex,5,5.0,Wuye,780000000.0
210,2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
211,2025,Terraced Duplex,4,4.0,Wuye,350000000.0
212,2025,Terraced Duplex,4,4.0,Wuye,320000000.0
213,2024,Flat / Apartment,4,4.0,Idu Industrial,85000000.0
214,2025,Detached Duplex,8,8.0,Asokoro District,1500000000.0
215,2025,Flat / Apartment,2,3.0,Jahi,97000000.0
