id,added_on_year,type,bedrooms,bathrooms,toilets,parking_spaces,town,state,price
1,2025,Flat / Apartment,3,4,4,2,Jahi,Abuja,"₦130,000,000"
2,2025,Detached Duplex,6,6,7,20,Guzape District,Abuja,"₦2,000,000,000"
3,2025,Detached Duplex,5,5,6,6,Guzape District,Abuja,"₦850,000,000"
4,2025,Detached Duplex,5,5,6,Unknown,Guzape District,Abuja,"₦950,000,000"
5,2025,House,5,5,6,Unknown,Guzape District,Abuja,"₦500,000,000"
6,2025,Terraced Duplex,4,5,5,Unknown,Jahi,Abuja,"₦215,000,000"
7,2025,Terraced Bungalow,3,3,4,6,Lugbe District,Abuja,"₦58,000,000"
8,2024,Terraced Duplex,4,5,5,3,Gudu,Abuja,"₦140,000,000"
9,2025,Terraced Duplex,4,4,5,3,Maitama District,Abuja,"₦600,000,000"
10,2025,Terraced Duplex,4,5,5,2,Wuye,Abuja,"₦240,000,000"
11,2025,Detached Duplex,5,5,6,4,Wuye,Abuja,"₦600,000,000"
12,2025,Terraced Duplex,4,5,5,3,Jahi,Abuja,"₦310,000,000"
13,2025,Detached Duplex,7,9,9,10,Guzape District,Abuja,"₦2,300,000,000"
14,2025,Detached Duplex,5,5,6,Unknown,Guzape District,Abuja,"₦500,000,000"
15,2025,Terraced Duplex,4,5,5,Unknown,Life Camp,Abuja,"₦159,000,000"
16,2025,Detached Duplex,5,5,6,Unknown,Guzape District,Abuja,"₦450,000,000"
17,2025,Terraced Duplex,4,4,5,3,Katampe,Abuja,"₦160,000,000"
18,2025,Detached Duplex,7,9,9,10,Guzape District,Abuja,"₦2,300,000,000"
19,2025,Terraced Duplex,4,5,5,Unknown,Life Camp,Abuja,"₦159,000,000"
20,2025,Terraced Duplex,4,4,5,3,Katampe,Abuja,"₦160,000,000"
21,2025,Terraced Duplex,4,4,5,Unknown,Jahi,Abuja,"₦300,000,000"
22,2024,Detached Duplex,5,5,6,Unknown,Wuye,Abuja,"₦250,000,000"
23,2025,Terraced Duplex,5,5,6,11,Asokoro District,Abuja,"₦1,300,000,000"
24,2024,Flat / Apartment,3,3,4,2,Gaduwa,Abuja,"₦170,000,000"
25,2025,Detached Duplex,6,6,7,6,Karsana,Abuja,"₦550,000,000"
26,2025,Detached Duplex,5,5,6,5,Karsana,Abuja,"₦305,000,000"
27,2025,Detached Duplex,5,5,6,6,Karsana,Abuja,"₦550,000,000"
28,2025,Detached Duplex,7,7,8,Unknown,Wuye,Abuja,"₦1,500,000,000"
29,2024,Terraced Duplex,4,5,5,3,Dakibiyu,Abuja,"₦95,000,000"
30,2024,Flat / Apartment,1,2,2,Unknown,Mabushi,Abuja,"₦75,000,000"
31,2025,Flat / Apartment,3,4,4,2,Guzape District,Abuja,"₦185,000,000"
32,2025,Terraced Duplex,3,4,4,3,Gaduwa,Abuja,"₦140,000,000"
33,2025,Detached Duplex,7,8,8,Unknown,Guzape District,Abuja,"₦1,500,000,000"
34,2024,Detached Duplex,5,5,6,4,Katampe,Abuja,"₦400,000,000"
35,2024,Terraced Duplex,4,4,5,4,Kado,Abuja,"₦260,000,000"
36,2024,Terraced Duplex,4,4,5,Unknown,Jahi,Abuja,"₦190,000,000"
37,2025,Flat / Apartment,2,2,2,2,Life Camp,Abuja,"₦60,000,000"
38,2024,Flat / Apartment,3,3,4,3,Wuye,Abuja,"₦80,000,000"
39,2025,Detached Duplex,6,Unknown,Unknown,Unknown,Jahi,Abuja,"₦560,000,000"
40,2024,Detached Duplex,5,5,6,Unknown,Jabi,Abuja,"₦320,000,000"
41,2024,Flat / Apartment,3,3,4,Unknown,Jabi,Abuja,"₦100,000,000"
42,2025,Detached Duplex,4,4,5,Unknown,Life Camp,Abuja,"₦210,000,000"
