added_on_year,type,bedrooms,bathrooms,town,price
2025,Flat / Apartment,3,4.0,Jahi,130000000.0
2025,Detached Duplex,6,6.0,Guzape District,2000000000.0
2025,Detached Duplex,5,5.0,Guzape District,850000000.0
2025,Detached Duplex,5,5.0,Guzape District,950000000.0
2025,Terraced Duplex,4,5.0,Jahi,215000000.0
2025,Terraced Bungalow,3,3.0,Lugbe District,58000000.0
2024,Terraced Duplex,4,5.0,Gudu,140000000.0
2025,Terraced Duplex,4,4.0,Maitama District,600000000.0
2025,Terraced Duplex,4,5.0,Wuye,240000000.0
2025,Detached Duplex,5,5.0,Wuye,600000000.0
2025,Terraced Duplex,4,5.0,Jahi,310000000.0
2025,Detached Duplex,7,9.0,Guzape District,2300000000.0
2025,Detached Duplex,5,5.0,Guzape District,500000000.0
2025,Terraced Duplex,4,5.0,Life Camp,159000000.0
2025,Detached Duplex,5,5.0,Guzape District,450000000.0
2025,Terraced Duplex,4,4.0,Katampe,160000000.0
2025,Detached Duplex,7,9.0,Guzape District,2300000000.0
2025,Terraced Duplex,4,5.0,Life Camp,159000000.0
2025,Terraced Duplex,4,4.0,Katampe,160000000.0
2025,Terraced Duplex,4,4.0,Jahi,300000000.0
2024,Detached Duplex,5,5.0,Wuye,250000000.0
2025,Terraced Duplex,5,5.0,Asokoro District,1300000000.0
2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
2025,Detached Duplex,6,6.0,Karsana,550000000.0
2025,Detached Duplex,5,5.0,Karsana,305000000.0
2025,Detached Duplex,5,5.0,Karsana,550000000.0
2025,Detached Duplex,7,7.0,Wuye,1500000000.0
2024,Terraced Duplex,4,5.0,Dakibiyu,95000000.0
2024,Flat / Apartment,1,2.0,Mabushi,75000000.0
2025,Flat / Apartment,3,4.0,Guzape District,185000000.0
2025,Terraced Duplex,3,4.0,Gaduwa,140000000.0
2025,Detached Duplex,7,8.0,Guzape District,1500000000.0
2024,Detached Duplex,5,5.0,Katampe,400000000.0
2024,Terraced Duplex,4,4.0,Kado,260000000.0
2024,Terraced Duplex,4,4.0,Jahi,190000000.0
2025,Flat / Apartment,2,2.0,Life Camp,60000000.0
2024,Flat / Apartment,3,3.0,Wuye,80000000.0
2025,Detached Duplex,6,6.0,Jahi,560000000.0
2024,Detached Duplex,5,5.0,Jabi,320000000.0
2024,Flat / Apartment,3,3.0,Jabi,100000000.0
2025,Detached Duplex,4,4.0,Life Camp,210000000.0
2025,Terraced Duplex,4,5.0,Guzape District,180000000.0
2025,Terraced Duplex,4,4.0,Jahi,300000000.0
2025,Flat / Apartment,4,4.0,Galadimawa,140000000.0
2025,Flat / Apartment,3,3.0,Life Camp,250000000.0
2025,Terraced Duplex,3,3.0,Life Camp,100000000.0
2025,Terraced Duplex,4,4.0,Jahi,310000000.0
2025,Terraced Duplex,4,4.0,Jabi,170000000.0
2025,Flat / Apartment,2,2.0,Gwarinpa,65000000.0
2025,Terraced Duplex,4,4.0,Life Camp,150000000.0
2025,Detached Duplex,8,8.0,Karsana,700000000.0
2025,Detached Duplex,9,9.0,Maitama District,5000000000.0
2025,Terraced Duplex,4,4.0,Galadimawa,120000000.0
2025,Detached Duplex,4,4.0,Mabushi,250000000.0
2025,Detached Duplex,5,5.0,Apo,250000000.0
2025,Terraced Duplex,4,4.0,Wuye,175000000.0
2025,Terraced Duplex,5,5.0,Life Camp,260000000.0
2025,Terraced Duplex,4,4.0,Jabi,320000000.0
2025,Detached Duplex,5,6.0,Asokoro District,800000000.0
2025,Detached Duplex,5,6.0,Galadimawa,200000000.0
2025,Detached Duplex,4,5.0,Galadimawa,120000000.0
2025,Detached Duplex,5,6.0,Galadimawa,195000000.0
2025,Detached Duplex,5,6.0,Galadimawa,195000000.0
2025,Terraced Duplex,5,5.0,Jahi,350000000.0
2025,Terraced Duplex,4,4.0,Guzape District,300000000.0
2025,Detached Duplex,4,4.0,Lugbe District,230000000.0
2025,Detached Duplex,6,6.0,Asokoro District,650000000.0
2023,Detached Duplex,5,7.0,Katampe,1500000000.0
2025,Terraced Duplex,3,3.0,Life Camp,150000000.0
2025,Detached Duplex,4,4.0,Guzape District,390000000.0
2025,Detached Duplex,5,6.0,Idu Industrial,250000000.0
2024,Terraced Duplex,4,4.0,Wuye,400000000.0
2024,Terraced Duplex,4,4.0,Karmo,120000000.0
2025,Terraced Duplex,4,5.0,Jabi,320000000.0
2025,Terraced Duplex,5,6.0,Utako,600000000.0
2025,Terraced Bungalow,2,2.0,Lugbe District,22000000.0
2024,Detached Duplex,7,7.0,Guzape District,2800000000.0
2024,Terraced Duplex,4,4.0,Guzape District,300000000.0
2025,Terraced Duplex,2,2.0,Lokogoma District,80000000.0
2025,Detached Duplex,5,4.0,Wuse,700000000.0
2025,Detached Duplex,7,9.0,Asokoro District,2800000000.0
2025,Terraced Duplex,4,4.0,Jabi,310000000.0
2025,Detached Bungalow,3,3.0,Gwarinpa,150000000.0
2025,Detached Duplex,6,6.0,Maitama District,2500000000.0
2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
2024,Flat / Apartment,3,4.0,Dakibiyu,65000000.0
2025,Detached Bungalow,4,4.0,Lugbe District,46000000.0
2025,Terraced Duplex,4,4.0,Apo,160000000.0
2025,Detached Duplex,5,5.0,Gwarinpa,430000000.0
2025,Terraced Duplex,5,5.0,Jahi,420000000.0
2025,Flat / Apartment,2,2.0,Kubwa,15000000.0
2025,Detached Duplex,5,5.0,Karsana,360000000.0
2025,Terraced Duplex,4,4.0,Jahi,350000000.0
2025,Detached Duplex,6,6.0,Wuse 2,1500000000.0
2025,Detached Duplex,6,6.0,Wuse 2,2000000000.0
2025,Flat / Apartment,3,3.0,Katampe,75000000.0
2025,Detached Duplex,4,4.0,Jabi,265000000.0
2025,Flat / Apartment,2,2.0,Idu Industrial,60000000.0
2025,Flat / Apartment,3,3.0,Idu Industrial,58000000.0
2024,Flat / Apartment,2,2.0,Idu Industrial,60000000.0
2024,Terraced Duplex,3,3.0,Life Camp,170000000.0
2025,Detached Duplex,5,5.0,Kubwa,280000000.0
2025,Detached Bungalow,4,4.0,Lokogoma District,130000000.0
2025,Detached Duplex,4,4.0,Kado,550000000.0
2025,Terraced Duplex,4,4.0,Life Camp,150000000.0
2025,Flat / Apartment,3,3.0,Jahi,113400000.0
2025,Detached Duplex,5,6.0,Asokoro District,2400000000.0
2025,Detached Duplex,4,4.0,Gwarinpa,200000000.0
2025,Detached Duplex,5,5.0,Katampe,130000000.0
2025,Flat / Apartment,3,3.0,Guzape District,250000000.0
2025,Flat / Apartment,3,3.0,Katampe,120000000.0
2025,Detached Duplex,4,4.0,Jahi,430000000.0
2024,Flat / Apartment,3,4.0,Dakibiyu,70000000.0
2025,Flat / Apartment,1,1.0,Katampe,75000000.0
2025,Flat / Apartment,3,3.0,Guzape District,250000000.0
2025,Detached Duplex,7,7.0,Guzape District,1700000000.0
2025,Detached Duplex,5,5.0,Gwarinpa,320000000.0
2025,Terraced Duplex,4,5.0,Jahi,350000000.0
2025,Terraced Duplex,4,5.0,Mabushi,270000000.0
2024,Detached Bungalow,5,5.0,Kukwaba,290000000.0
2024,Terraced Duplex,4,4.0,Mabushi,165000000.0
2025,Flat / Apartment,3,3.0,Life Camp,85000000.0
2025,Detached Duplex,5,5.0,Kado,315000000.0
2025,Terraced Duplex,4,4.0,Asokoro District,280000000.0
2025,Flat / Apartment,3,4.0,Mabushi,200000000.0
2025,Terraced Duplex,4,5.0,Guzape District,350000000.0
2025,Flat / Apartment,3,4.0,Wuye,235000000.0
2025,Flat / Apartment,3,4.0,Katampe,110000.0
2025,Terraced Duplex,4,5.0,Jahi,350000000.0
2025,Terraced Duplex,4,5.0,Jahi,350000000.0
2025,Terraced Duplex,4,4.0,Maitama District,140000000.0
2025,Terraced Duplex,4,5.0,Jabi,320000.0
2025,Detached Duplex,6,6.0,Guzape District,350000000.0
2025,Terraced Duplex,4,5.0,Jahi,320000000.0
2025,Detached Duplex,5,6.0,Guzape District,950000000.0
2025,Terraced Duplex,4,5.0,Jabi,320000000.0
2025,Detached Duplex,7,7.0,Guzape District,1700000000.0
2025,Detached Duplex,5,5.0,Jabi,250000000.0
2025,Terraced Duplex,4,4.0,Kado,190000000.0
2025,Terraced Duplex,4,4.0,Garki,270000000.0
2025,Terraced Duplex,4,4.0,Garki,270000000.0
2025,Terraced Duplex,5,5.0,Life Camp,250000000.0
2025,Flat / Apartment,3,3.0,Katampe,110000000.0
2025,Terraced Duplex,4,4.0,Jahi,165000000.0
2024,Detached Duplex,4,4.0,Asokoro District,600000000.0
2024,Terraced Duplex,4,4.0,Guzape District,200000000.0
2024,Detached Duplex,6,6.0,Guzape District,1000000000.0
2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
2024,Flat / Apartment,2,3.0,Lugbe District,70000000.0
2025,Detached Duplex,6,6.0,Katampe,1100000000.0
2025,Detached Duplex,6,6.0,Karsana,450000000.0
2025,Detached Duplex,6,6.0,Karsana,520000000.0
2025,Detached Duplex,6,6.0,Gwarinpa,390000000.0
2025,Terraced Duplex,4,4.0,Jahi,165000000.0
2025,Detached Duplex,4,4.0,Gwarinpa,250000000.0
2025,Detached Duplex,5,5.0,Galadimawa,400000000.0
2025,Terraced Duplex,4,5.0,Jahi,450000000.0
2025,Flat / Apartment,3,3.0,Karmo,60000000.0
2024,Detached Bungalow,3,3.0,Mbora (Nbora),150000000.0
2025,Detached Bungalow,2,2.0,Kubwa,90000000.0
2024,Detached Duplex,5,5.0,Lugbe District,250000000.0
2024,Flat / Apartment,3,3.0,Kubwa,60000000.0
2024,Flat / Apartment,2,2.0,Kubwa,45000000.0
2024,Terraced Duplex,4,4.0,Kubwa,135000000.0
2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
2023,Detached Duplex,5,5.0,Katampe,500000000.0
2024,Terraced Duplex,5,5.0,Mabushi,350000000.0
2024,Flat / Apartment,3,3.0,Gaduwa,170000000.0
2024,Detached Duplex,5,5.0,Kubwa,350000000.0
2024,Terraced Duplex,3,3.0,Apo,83000000.0
2024,Detached Duplex,5,6.0,Kado,350000000.0
2025,Detached Duplex,4,4.0,Maitama District,450000000.0
